false_id,group,control_id,design_distance,max_standardized_gap
zh_ja_001,true_friend,true_004965,1.1160445175245461,1.0550927363200362
zh_ja_001,true_friend,true_002021,1.1255082055676113,1.0550927363200362
zh_ja_001,true_friend,true_004360,1.1363833844541922,1.0550927363200362
zh_ja_001,true_friend,true_002112,1.1423006494493377,1.0550927363200362
zh_ja_001,true_friend,true_003665,1.227169361692686,1.0550927363200362
zh_ja_001,true_friend,true_003326,1.2545260001194203,1.0550927363200362
zh_ja_001,true_friend,true_001561,1.3079431853802301,1.0550927363200362
zh_ja_001,true_friend,true_004147,1.3207409479279786,1.0550927363200362
zh_ja_001,true_friend,true_000792,1.3378879961405816,1.0550927363200362
zh_ja_001,true_friend,true_002521,1.382622222889661,1.0550927363200362
zh_ja_001,true_friend,true_006204,1.4237902722598386,1.0550927363200362
zh_ja_001,true_friend,true_005131,1.4359706125301686,1.0550927363200362
zh_ja_001,true_friend,true_002148,1.4565481334528452,1.0550927363200362
zh_ja_001,true_friend,true_001498,1.5372218581985004,1.0550927363200362
zh_ja_001,true_friend,true_005134,1.5922431266434813,1.0550927363200362
zh_ja_001,true_friend,true_003775,1.6018762024182092,1.0550927363200362
zh_ja_001,true_friend,true_002967,1.6593233593116954,1.0550927363200362
zh_ja_001,true_friend,true_003564,1.665761266608674,1.0550927363200362
zh_ja_001,true_friend,true_000622,1.7669961491041601,1.0550927363200362
zh_ja_001,true_friend,true_003251,1.8178610263352448,1.0550927363200362
zh_ja_001,true_friend,true_005269,1.8996221755031257,1.0550927363200362
zh_ja_001,true_friend,true_002250,1.902539285544731,1.0550927363200362
zh_ja_001,true_friend,true_002137,1.9567644288241417,1.0550927363200362
zh_ja_001,true_friend,true_001980,1.9997961726883526,1.0550927363200362
zh_ja_001,true_friend,true_005888,2.0114647704051216,1.0550927363200362
zh_ja_001,true_friend,true_002715,2.0412854374699214,1.0550927363200362
zh_ja_001,true_friend,true_000394,2.041715275665773,1.0550927363200362
zh_ja_001,true_friend,true_004710,2.1272202464677656,1.0550927363200362
zh_ja_001,true_friend,true_004630,2.150571720625541,1.0550927363200362
zh_ja_001,true_friend,true_006147,2.18081373584429,1.0550927363200362
zh_ja_001,true_friend,true_001803,2.181158699891735,1.0550927363200362
zh_ja_001,true_friend,true_001941,2.2034550149592054,1.0550927363200362
zh_ja_001,true_friend,true_001482,2.2225639985089582,1.0550927363200362
zh_ja_001,true_friend,true_000535,2.335814041242851,1.0550927363200362
zh_ja_001,true_friend,true_004400,2.357029855233627,1.0550927363200362
zh_ja_001,true_friend,true_004274,2.362609613775368,1.0550927363200362
zh_ja_001,true_friend,true_002136,2.376361936949321,1.0550927363200362
zh_ja_001,true_friend,true_005885,2.3930687882526227,1.0550927363200362
zh_ja_001,true_friend,true_003910,2.421401131079418,1.0550927363200362
zh_ja_001,true_friend,true_001018,2.459451265576284,1.0550927363200362
zh_ja_001,true_friend,true_001763,2.461210788018679,1.0550927363200362
zh_ja_001,true_friend,true_005644,2.504565784371109,1.0550927363200362
zh_ja_001,true_friend,true_006463,2.559884258185491,1.0550927363200362
zh_ja_001,true_friend,true_003715,2.5678537035470064,1.0550927363200362
zh_ja_001,true_friend,true_002438,2.576862342385513,1.0550927363200362
zh_ja_001,true_friend,true_002192,2.5920034479508844,1.0550927363200362
zh_ja_001,true_friend,true_000112,2.624206191372303,1.0550927363200362
zh_ja_001,true_friend,true_002079,2.6540656519743573,1.0550927363200362
zh_ja_001,true_friend,true_004717,2.727147478079872,1.0550927363200362
zh_ja_001,true_friend,true_000698,2.750545775589069,1.0550927363200362
zh_ja_001,true_friend,true_006451,2.7593194637426444,1.0550927363200362
zh_ja_001,true_friend,true_002177,2.7595196616112982,1.0607870854756078
zh_ja_001,true_friend,true_002367,2.771381337283093,1.0550927363200362
zh_ja_001,true_friend,true_001175,2.798245657659714,1.0550927363200362
zh_ja_001,true_friend,true_002213,2.8110393896250914,1.0550927363200362
