group,false_id,control_id,pair_distance,max_standardized_gap
true_friend,zh_ja_020,true_001577,10.482283784942641,2.1791835378561752
true_friend,zh_ja_029,true_001776,2.5704646524524923,1.0092747315352206
true_friend,zh_ja_001,true_001638,6.1414619060283355,1.427271412227455
true_friend,zh_ja_002,true_000057,5.412939927519083,2.047220882886354
true_friend,zh_ja_009,true_005994,14.91898701215294,2.0933019693303407
true_friend,zh_ja_011,true_003986,5.977812270845908,1.5375001623729359
true_friend,zh_ja_015,true_005056,14.518251162207088,2.047220882886354
true_friend,zh_ja_019,true_003368,1.95973078058379,1.023610441443177
true_friend,zh_ja_021,true_001674,18.022243325442215,2.0933019693303407
true_friend,zh_ja_022,true_001580,15.05495895081517,2.0070997509928934
true_friend,zh_ja_024,true_003880,3.068050703932477,1.2836286592851438
true_friend,zh_ja_047,true_001687,2.7485285434601705,1.023610441443177
true_friend,zh_ja_049,true_000943,2.23894973641074,1.140345418852919
true_friend,zh_ja_003,true_000119,24.636520243942986,2.0933019693303407
true_friend,zh_ja_006,true_004829,1.3998717324410892,0.9702908120562566
true_friend,zh_ja_008,true_004198,2.516125253228812,1.057291733044778
true_friend,zh_ja_013,true_003084,2.4792743647673245,1.023610441443177
true_friend,zh_ja_014,true_002241,10.720104912575584,1.9877350162412666
true_friend,zh_ja_023,true_004424,8.287564777599782,2.31351676964183
true_friend,zh_ja_027,true_002145,15.677397412155504,2.0933019693303407
true_friend,zh_ja_028,true_000930,10.677365479933346,2.0933019693303407
true_friend,zh_ja_048,true_006316,5.40288046900434,1.3985481665706039
true_friend,zh_ja_052,true_002071,7.486705847126218,2.047220882886354
true_friend,zh_ja_054,true_003216,0.9913889431842254,0.7296773042977057
translation_control,zh_ja_020,translation_011559,17.599840360831656,2.2099428565360255
translation_control,zh_ja_029,translation_015245,5.2217963017410325,1.790333453396274
translation_control,zh_ja_001,translation_003896,5.696525008122319,1.4926741562904766
translation_control,zh_ja_002,translation_022316,10.561600969214112,2.9853483125809532
translation_control,zh_ja_009,translation_011174,7.353304374125447,2.0008762962888125
translation_control,zh_ja_011,translation_020018,4.195733803603303,1.4092946303073388
translation_control,zh_ja_015,translation_004493,10.901990596683186,1.978007954204465
translation_control,zh_ja_019,translation_003620,3.0940703873762625,1.4926741562904766
translation_control,zh_ja_021,translation_001165,5.191770677002056,1.978007954204465
translation_control,zh_ja_022,translation_018978,14.74623794488491,2.0008762962888125
translation_control,zh_ja_024,translation_016951,6.7375615399315,1.6564331014600233
translation_control,zh_ja_047,translation_008779,4.660079236169853,1.4926741562904766
translation_control,zh_ja_049,translation_009114,6.87290445075925,2.0037695673152065
translation_control,zh_ja_003,translation_011445,45.3591606486611,5.9706966251619065
translation_control,zh_ja_006,translation_015196,10.195083599057773,2.9853483125809532
translation_control,zh_ja_008,translation_010373,4.479627441427251,1.6564331014600233
translation_control,zh_ja_013,translation_005884,3.226521604363945,1.4926741562904766
translation_control,zh_ja_014,translation_019609,3.2515028060195985,1.4926741562904766
translation_control,zh_ja_023,translation_006160,0.8092986850526483,0.8176480014685714
translation_control,zh_ja_027,translation_020548,13.540730662347102,2.0008762962888125
translation_control,zh_ja_028,translation_010254,10.284840570134309,2.0008762962888125
translation_control,zh_ja_048,translation_012140,11.189879690347134,2.1253072247376807
translation_control,zh_ja_052,translation_002811,13.4390709687433,2.0008762962888125
translation_control,zh_ja_054,translation_014979,0.635478892877974,0.5938992319497325
