condition,metric,n,paired_effect,ci_low,ci_high
conflict,draw,50,-0.5512599091604352,-0.960967276059091,-0.1525795357767494
conflict,dlift,50,-0.017838316448032857,-0.4524321318855509,0.40429475705791257
neutral,draw,50,-0.935668645426631,-1.1653518641516567,-0.7107980663310737
neutral,dlift,50,0.3384389156848192,0.1784690721165389,0.504983686832711
