group,covariate,smd,false_mean,reservoir_mean,variance_ratio
true_friend,freq_l1,0.046776207260364806,3.939583333333333,3.9696875000000005,0.8238793919005075
true_friend,freq_l2,0.09587497134138387,3.537083333333334,3.6004166666666664,0.8297757304682088
true_friend,freq_ratio,-0.04996074571825871,0.4025,0.3692708333333334,0.8671232698097647
true_friend,char_l1,0.0,2.0,2.0,
true_friend,char_l2,0.0,2.0,2.0,
true_friend,gloss_tokens,-0.08601644057090811,1.5,1.4583333333333333,1.1230994152046783
true_friend,tok1_l1,-0.08700071669884564,1.5833333333333333,1.5416666666666667,0.989172932330827
true_friend,tok1_l2,-0.08700071669884564,1.5833333333333333,1.5416666666666667,0.989172932330827
true_friend,tok2_l1,-0.08334039847033406,1.5416666666666667,1.5,0.9751932278248071
true_friend,tok2_l2,-0.08334039847033406,1.5416666666666667,1.5,0.9751932278248071
true_friend,reference_difficulty,0.0999356796976766,-6.585459054248834,-6.142728984200706,0.7041474603758208
translation_control,freq_l1,0.09325899733057079,3.939583333333333,4.0086458333333335,0.8124968321459194
translation_control,freq_l2,0.0984914387578183,3.537083333333334,3.605625,1.1387165664232255
translation_control,freq_ratio,0.0006054462921716696,0.4025,0.40302083333333333,0.801621685169626
translation_control,char_l1,-0.06609790433715362,2.0,1.9791666666666667,
translation_control,char_l2,0.0,2.0,2.0,
translation_control,gloss_tokens,-0.09449945389099663,1.5,1.46875,1.0453399122807019
translation_control,tok1_l1,-0.08326316370274177,1.5833333333333333,1.5416666666666667,0.989172932330827
translation_control,tok1_l2,0.0868156523589231,1.5833333333333333,1.6354166666666667,1.2550563909774437
translation_control,tok2_l1,0.08292088343227415,1.5416666666666667,1.5833333333333333,0.9481045270518956
translation_control,tok2_l2,0.08407735759830838,1.5416666666666667,1.5833333333333333,0.9481045270518956
translation_control,reference_difficulty,-0.09955454600499287,-6.585459054248834,-7.150677306111902,1.167136873255601
