pair,model,prompt_mode,wrapper,normalization,comparison,n,estimate,ci_low,ci_high,positive_rate
id_tl,gemma3_12b,chat,bare,mean,full_minus_language_only,33,1.9898408687475957,1.089419162273407,2.9519476301742316,0.7575757575757576
id_tl,gemma3_12b,chat,bare,mean,full_minus_shuffled,33,3.657701203317353,2.512411105994022,4.745650649070738,0.8484848484848485
id_tl,gemma3_12b,chat,bare,mean,masked_minus_shuffled,33,1.5649479085748845,0.5796596902789491,2.5406162124691583,0.696969696969697
id_tl,gemma3_12b,chat,bare,sum,full_minus_language_only,33,2.7384669852979258,1.4514253002224546,4.148288650946183,0.7878787878787878
id_tl,gemma3_12b,chat,bare,sum,full_minus_shuffled,33,4.77687422434489,3.1212455619465223,6.473058054663917,0.8484848484848485
id_tl,gemma3_12b,chat,bare,sum,masked_minus_shuffled,33,2.013683723680901,0.5416572093963623,3.535698071393098,0.6666666666666666
id_tl,gemma3_12b,chat,definition,mean,full_minus_language_only,33,1.2561693480520537,0.7770902673403423,1.736840943134192,0.8181818181818182
id_tl,gemma3_12b,chat,definition,mean,full_minus_shuffled,33,2.7237143516540527,2.2819461251750135,3.1669442256291704,1.0
id_tl,gemma3_12b,chat,definition,mean,masked_minus_shuffled,33,1.5386477383700283,1.1414294683572017,1.9514862949197942,0.9090909090909091
id_tl,gemma3_12b,chat,definition,sum,full_minus_language_only,33,5.093644113251657,3.0444330822337755,7.191611405574914,0.8181818181818182
id_tl,gemma3_12b,chat,definition,sum,full_minus_shuffled,33,11.399261590206262,9.416982552499482,13.404486040635541,0.9696969696969697
id_tl,gemma3_12b,chat,definition,sum,masked_minus_shuffled,33,6.40418174050071,4.582141436952533,8.28386571190574,0.8484848484848485
id_tl,gemma3_12b,chat,refers,mean,full_minus_language_only,33,0.7845472711505312,0.4116967844240593,1.1883267424323336,0.696969696969697
id_tl,gemma3_12b,chat,refers,mean,full_minus_shuffled,33,2.069079211263946,1.652030143593297,2.469442969380003,0.9393939393939394
id_tl,gemma3_12b,chat,refers,mean,masked_minus_shuffled,33,1.386759295608058,1.007734124588244,1.7695159312450521,0.8787878787878788
id_tl,gemma3_12b,chat,refers,sum,full_minus_language_only,33,4.179163846102628,2.3249535300514914,6.1471772367304025,0.7878787878787878
id_tl,gemma3_12b,chat,refers,sum,full_minus_shuffled,33,10.962553428881096,9.031651756980203,12.878846353473085,0.9696969696969697
id_tl,gemma3_12b,chat,refers,sum,masked_minus_shuffled,33,7.106137593587239,5.164383292920661,9.09197753559459,0.8787878787878788
id_tl,gemma3_12b,plain,bare,mean,full_minus_language_only,33,-0.9741565964438699,-1.4063519799348079,-0.5069277485211693,0.21212121212121213
id_tl,gemma3_12b,plain,bare,mean,full_minus_shuffled,33,0.36724997289253003,0.1081315152572863,0.634956258716005,0.696969696969697
id_tl,gemma3_12b,plain,bare,mean,masked_minus_shuffled,33,-0.07700049515926477,-0.37503731015956765,0.2456700220252528,0.42424242424242425
id_tl,gemma3_12b,plain,bare,sum,full_minus_language_only,33,-0.6460444854967522,-1.5189047798965916,0.4604463985472011,0.24242424242424243
id_tl,gemma3_12b,plain,bare,sum,full_minus_shuffled,33,1.0121729229435776,0.234383358558019,2.083601171861995,0.6666666666666666
id_tl,gemma3_12b,plain,bare,sum,masked_minus_shuffled,33,0.28082768844835687,-0.3055648249207121,0.9834723301006073,0.45454545454545453
id_tl,gemma3_12b,plain,definition,mean,full_minus_language_only,33,-0.38387359272349963,-0.5476048772985285,-0.2294181375792533,0.24242424242424243
id_tl,gemma3_12b,plain,definition,mean,full_minus_shuffled,33,0.11906966296109286,0.001363358353123523,0.23956078850861715,0.696969696969697
id_tl,gemma3_12b,plain,definition,mean,masked_minus_shuffled,33,-0.028331836064656574,-0.12582004991444673,0.07586507706931137,0.42424242424242425
id_tl,gemma3_12b,plain,definition,sum,full_minus_language_only,33,-1.323881871772535,-2.234225835944667,-0.32452287312710065,0.24242424242424243
id_tl,gemma3_12b,plain,definition,sum,full_minus_shuffled,33,0.9831770694617069,0.11387031873067222,2.0681345181031623,0.8181818181818182
id_tl,gemma3_12b,plain,definition,sum,masked_minus_shuffled,33,0.13266814838756213,-0.35427207152048745,0.6742051890402126,0.5151515151515151
id_tl,gemma3_12b,plain,refers,mean,full_minus_language_only,33,-0.3821881756638036,-0.5995908339818318,-0.16111775401866815,0.24242424242424243
id_tl,gemma3_12b,plain,refers,mean,full_minus_shuffled,33,0.16305940078966547,0.04222087119564866,0.2876102492664798,0.6363636363636364
id_tl,gemma3_12b,plain,refers,mean,masked_minus_shuffled,33,-0.007106296943895744,-0.1012300558162458,0.08610727425777544,0.5151515151515151
id_tl,gemma3_12b,plain,refers,sum,full_minus_language_only,33,-1.6395857839873342,-3.016389904600201,-0.2437085007176269,0.2727272727272727
id_tl,gemma3_12b,plain,refers,sum,full_minus_shuffled,33,1.2744545792088364,0.366131117849639,2.3234351981769903,0.6666666666666666
id_tl,gemma3_12b,plain,refers,sum,masked_minus_shuffled,33,0.16987014539314038,-0.7317414370450106,1.1753856355493715,0.5151515151515151
id_tl,gemma3_4b,chat,bare,mean,full_minus_language_only,33,5.833930868091005,4.445279387994246,7.229694692293801,0.9393939393939394
id_tl,gemma3_4b,chat,bare,mean,full_minus_shuffled,33,6.427840883081609,3.991795242735834,8.690654637235582,0.8787878787878788
id_tl,gemma3_4b,chat,bare,mean,masked_minus_shuffled,33,1.741990985292377,-0.18220824978568334,3.734029305703709,0.6666666666666666
id_tl,gemma3_4b,chat,bare,sum,full_minus_language_only,33,7.183561722437541,5.333535983165105,9.407726206743353,0.9393939393939394
id_tl,gemma3_4b,chat,bare,sum,full_minus_shuffled,33,8.315430171561964,5.168679476868022,11.731281926053942,0.9090909090909091
id_tl,gemma3_4b,chat,bare,sum,masked_minus_shuffled,33,2.386929685419256,-0.9060445864995319,6.051283130501252,0.5757575757575758
id_tl,gemma3_4b,chat,definition,mean,full_minus_language_only,33,1.3869645667798591,0.8337662678776365,1.8766681215979835,0.9090909090909091
id_tl,gemma3_4b,chat,definition,mean,full_minus_shuffled,33,2.4701704400958437,1.9006296197573342,3.066763816819046,0.9696969696969697
id_tl,gemma3_4b,chat,definition,mean,masked_minus_shuffled,33,1.1348910476222183,0.690206622354912,1.6719075845949574,0.8484848484848485
id_tl,gemma3_4b,chat,definition,sum,full_minus_language_only,33,5.5363462043531015,2.962762283556389,7.88758538275054,0.8484848484848485
id_tl,gemma3_4b,chat,definition,sum,full_minus_shuffled,33,10.607269980690695,8.050932375590007,13.38934402321324,0.9696969696969697
id_tl,gemma3_4b,chat,definition,sum,masked_minus_shuffled,33,5.02462219469475,3.1236241745226314,7.251241900704122,0.8484848484848485
id_tl,gemma3_4b,chat,refers,mean,full_minus_language_only,33,0.8796287883411754,0.36906594760490186,1.4239810582363244,0.6666666666666666
id_tl,gemma3_4b,chat,refers,mean,full_minus_shuffled,33,2.8268931128761987,2.3136084357897437,3.345448047464544,0.9696969696969697
id_tl,gemma3_4b,chat,refers,mean,masked_minus_shuffled,33,1.485449169621323,1.0397134455767545,1.936457606517907,0.8484848484848485
id_tl,gemma3_4b,chat,refers,sum,full_minus_language_only,33,4.290771599971887,1.5344335425983777,7.277076559355763,0.6666666666666666
id_tl,gemma3_4b,chat,refers,sum,full_minus_shuffled,33,14.790406891793916,12.19264215267066,17.341172248666933,0.9696969696969697
id_tl,gemma3_4b,chat,refers,sum,masked_minus_shuffled,33,7.512757041237571,5.16733857790629,9.919754169926499,0.8484848484848485
id_tl,gemma3_4b,plain,bare,mean,full_minus_language_only,33,0.3626522584394975,-0.20378413200378417,0.9489415098320346,0.5757575757575758
id_tl,gemma3_4b,plain,bare,mean,full_minus_shuffled,33,1.759580626632228,1.193510827331832,2.321194444822542,0.8787878787878788
id_tl,gemma3_4b,plain,bare,mean,masked_minus_shuffled,33,0.7110201878981157,0.3339612101063584,1.0955499219171927,0.696969696969697
id_tl,gemma3_4b,plain,bare,sum,full_minus_language_only,33,0.35616582812684955,-0.25837466066533865,0.9675969199700784,0.5151515151515151
id_tl,gemma3_4b,plain,bare,sum,full_minus_shuffled,33,2.0586651383024273,1.3928580636327916,2.74681167602539,0.8787878787878788
id_tl,gemma3_4b,plain,bare,sum,masked_minus_shuffled,33,0.9165122870242957,0.35320690111680464,1.493606468402978,0.7272727272727273
id_tl,gemma3_4b,plain,definition,mean,full_minus_language_only,33,-0.22779648954218085,-0.38583354642896944,-0.07034872824495497,0.24242424242424243
id_tl,gemma3_4b,plain,definition,mean,full_minus_shuffled,33,0.3334004084269206,0.20845388426925196,0.4761186971808924,0.7878787878787878
id_tl,gemma3_4b,plain,definition,mean,masked_minus_shuffled,33,0.20287793332880194,0.0748784374107014,0.352522164402586,0.696969696969697
id_tl,gemma3_4b,plain,definition,sum,full_minus_language_only,33,-0.8552483356360233,-1.5499286167549364,-0.11449549559390923,0.24242424242424243
id_tl,gemma3_4b,plain,definition,sum,full_minus_shuffled,33,1.4389251073201497,0.626441739544724,2.2978593472278477,0.7272727272727273
id_tl,gemma3_4b,plain,definition,sum,masked_minus_shuffled,33,0.8975830656109434,0.1974078648018115,1.6726594448089591,0.6666666666666666
id_tl,gemma3_4b,plain,refers,mean,full_minus_language_only,33,-0.008195537509340229,-0.19715523810097665,0.17926356106093425,0.5454545454545454
id_tl,gemma3_4b,plain,refers,mean,full_minus_shuffled,33,0.5442573229471842,0.4043755161039757,0.6851652322393473,0.9393939393939394
id_tl,gemma3_4b,plain,refers,mean,masked_minus_shuffled,33,0.19453241608359598,0.08124349731387515,0.3029328275810588,0.8484848484848485
id_tl,gemma3_4b,plain,refers,sum,full_minus_language_only,33,-0.12025099089651396,-1.1761720671798241,0.9609412337794431,0.5151515151515151
id_tl,gemma3_4b,plain,refers,sum,full_minus_shuffled,33,2.7049508528275923,1.8846847172939416,3.5928828138293634,0.8787878787878788
id_tl,gemma3_4b,plain,refers,sum,masked_minus_shuffled,33,0.919046806566643,0.2265368562756163,1.623512350429188,0.8484848484848485
id_tl,qwen25_7b,chat,bare,mean,full_minus_language_only,33,0.48327354951338336,-0.5446954011917114,1.477377822543635,0.5454545454545454
id_tl,qwen25_7b,chat,bare,mean,full_minus_shuffled,33,1.8125325549732556,0.9983141342798868,2.6315048929416767,0.7575757575757576
id_tl,qwen25_7b,chat,bare,mean,masked_minus_shuffled,33,1.493273417154948,0.9649098233743147,2.0397342118349937,0.8181818181818182
id_tl,qwen25_7b,chat,bare,sum,full_minus_language_only,33,1.0732027978608103,-0.8223269383112589,3.0501069563807834,0.6363636363636364
id_tl,qwen25_7b,chat,bare,sum,full_minus_shuffled,33,2.9237027457266143,1.6872562289237976,4.138083882404095,0.7878787878787878
id_tl,qwen25_7b,chat,bare,sum,masked_minus_shuffled,33,3.014584324576638,1.8428866552584098,4.3382141575668784,0.8484848484848485
id_tl,qwen25_7b,chat,definition,mean,full_minus_language_only,33,-0.4033482652721983,-0.7122019135590756,-0.10548685391744,0.2727272727272727
id_tl,qwen25_7b,chat,definition,mean,full_minus_shuffled,33,0.8928682587363503,0.6174961064801071,1.1573113795482752,0.8484848484848485
id_tl,qwen25_7b,chat,definition,mean,masked_minus_shuffled,33,0.5656435561902595,0.33849552833672725,0.8102163076400756,0.8181818181818182
id_tl,qwen25_7b,chat,definition,sum,full_minus_language_only,33,-1.6339354659571792,-3.0506172888206713,-0.09122617894953003,0.2727272727272727
id_tl,qwen25_7b,chat,definition,sum,full_minus_shuffled,33,3.9317358190363105,2.6853240750052714,5.211996013467961,0.8787878787878788
id_tl,qwen25_7b,chat,definition,sum,masked_minus_shuffled,33,2.5039100068988223,1.3907413670510957,3.7029866377512604,0.8181818181818182
id_tl,qwen25_7b,chat,refers,mean,full_minus_language_only,33,-0.14824394746260208,-0.612609514503768,0.32629831957094585,0.5151515151515151
id_tl,qwen25_7b,chat,refers,mean,full_minus_shuffled,33,1.4568928949760669,1.194702305577018,1.731183352614894,0.9696969696969697
id_tl,qwen25_7b,chat,refers,mean,masked_minus_shuffled,33,1.0749722177332097,0.797177126010259,1.385403688206817,0.9393939393939394
id_tl,qwen25_7b,chat,refers,sum,full_minus_language_only,33,-0.6086035641756925,-3.2902223124648584,1.9891547911094845,0.5151515151515151
id_tl,qwen25_7b,chat,refers,sum,full_minus_shuffled,33,7.976101326219963,6.6062615047801625,9.377660979646624,0.9696969696969697
id_tl,qwen25_7b,chat,refers,sum,masked_minus_shuffled,33,5.570656285141453,4.1006314133152815,7.101523162379408,0.9090909090909091
id_tl,qwen25_7b,plain,bare,mean,full_minus_language_only,33,-1.9265075651082126,-3.295973242638689,-0.5587931959014963,0.2727272727272727
id_tl,qwen25_7b,plain,bare,mean,full_minus_shuffled,33,3.6386196107575386,2.799703168327158,4.538336219570853,0.9090909090909091
id_tl,qwen25_7b,plain,bare,mean,masked_minus_shuffled,33,2.570675936612216,1.6611192509983526,3.5394229018326935,0.8181818181818182
id_tl,qwen25_7b,plain,bare,sum,full_minus_language_only,33,-2.0284174319469566,-3.7252073153401866,-0.2607507008494753,0.2727272727272727
id_tl,qwen25_7b,plain,bare,sum,full_minus_shuffled,33,4.440155997420803,3.3869686798615892,5.588675863453835,0.9090909090909091
id_tl,qwen25_7b,plain,bare,sum,masked_minus_shuffled,33,2.866935939499826,1.8504885586825286,3.87352937983744,0.8484848484848485
id_tl,qwen25_7b,plain,definition,mean,full_minus_language_only,33,-0.19918888987916888,-0.5605848850625934,0.1792152704614575,0.36363636363636365
id_tl,qwen25_7b,plain,definition,mean,full_minus_shuffled,33,1.3233835913918235,1.0316593861941135,1.6176864340449824,0.9090909090909091
id_tl,qwen25_7b,plain,definition,mean,masked_minus_shuffled,33,0.8523906360973011,0.6108509134162555,1.0996850703701828,0.8484848484848485
id_tl,qwen25_7b,plain,definition,sum,full_minus_language_only,33,-0.8193677266438802,-2.3683940186645045,0.7224360444328978,0.36363636363636365
id_tl,qwen25_7b,plain,definition,sum,full_minus_shuffled,33,5.7012412331321025,4.4922179568897596,6.883770336526813,0.9090909090909091
id_tl,qwen25_7b,plain,definition,sum,masked_minus_shuffled,33,3.602683414112438,2.51621149669994,4.668235473921804,0.8181818181818182
id_tl,qwen25_7b,plain,refers,mean,full_minus_language_only,33,-0.017704429048480408,-0.3063317060470581,0.27568618050127275,0.45454545454545453
id_tl,qwen25_7b,plain,refers,mean,full_minus_shuffled,33,1.137288555954442,0.8969689472155138,1.3604280554887016,0.9393939393939394
id_tl,qwen25_7b,plain,refers,mean,masked_minus_shuffled,33,0.946208144679214,0.7056382737376473,1.1999066882061236,0.9393939393939394
id_tl,qwen25_7b,plain,refers,sum,full_minus_language_only,33,-0.05393464637525154,-1.737742762854605,1.61626624844291,0.5151515151515151
id_tl,qwen25_7b,plain,refers,sum,full_minus_shuffled,33,6.316636345603249,5.229538774490356,7.4064700892477315,0.9696969696969697
id_tl,qwen25_7b,plain,refers,sum,masked_minus_shuffled,33,5.131459756331011,3.915686238895763,6.398500607230447,0.9393939393939394
id_tl,qwen3_8b,chat,bare,mean,full_minus_language_only,33,0.11089113986853397,-0.1954580270882809,0.40489088116270106,0.6363636363636364
id_tl,qwen3_8b,chat,bare,mean,full_minus_shuffled,33,0.3814538464401708,0.029232757019274178,0.763636914527777,0.6363636363636364
id_tl,qwen3_8b,chat,bare,mean,masked_minus_shuffled,33,0.5236283360105572,0.0682550224390897,0.9990897160587888,0.5757575757575758
id_tl,qwen3_8b,chat,bare,sum,full_minus_language_only,33,0.3529635631676876,-0.26437918706373736,0.9822992425976373,0.6060606060606061
id_tl,qwen3_8b,chat,bare,sum,full_minus_shuffled,33,0.8837349053585168,0.17866987531835382,1.711943370645695,0.5757575757575758
id_tl,qwen3_8b,chat,bare,sum,masked_minus_shuffled,33,1.2737356243711528,0.25715976700638277,2.400714462453668,0.6363636363636364
id_tl,qwen3_8b,chat,definition,mean,full_minus_language_only,33,-0.2713868834755637,-0.44492636052044954,-0.08589354717370237,0.2727272727272727
id_tl,qwen3_8b,chat,definition,mean,full_minus_shuffled,33,0.8088238456032493,0.600300774791024,1.0424069603284198,0.9393939393939394
id_tl,qwen3_8b,chat,definition,mean,masked_minus_shuffled,33,0.3975813461072517,0.26849900845325353,0.5425626780047561,0.8484848484848485
id_tl,qwen3_8b,chat,definition,sum,full_minus_language_only,33,-1.0887751145796343,-1.883690747347745,-0.36533837607412695,0.2727272727272727
id_tl,qwen3_8b,chat,definition,sum,full_minus_shuffled,33,3.440123008959221,2.5602450515284683,4.426069969119447,0.9393939393939394
id_tl,qwen3_8b,chat,definition,sum,masked_minus_shuffled,33,1.70336018186627,1.062394058343136,2.4022439537626323,0.8484848484848485
id_tl,qwen3_8b,chat,refers,mean,full_minus_language_only,33,-0.12312188292994644,-0.267793743538134,0.021815420461423398,0.3939393939393939
id_tl,qwen3_8b,chat,refers,mean,full_minus_shuffled,33,0.8646158810817834,0.7004793629501805,1.0289415113853684,1.0
id_tl,qwen3_8b,chat,refers,mean,masked_minus_shuffled,33,0.52977670322765,0.37290787010481863,0.6953467007839315,0.8484848484848485
id_tl,qwen3_8b,chat,refers,sum,full_minus_language_only,33,-0.5234306219852332,-1.3167098464387836,0.27041751832672944,0.42424242424242425
id_tl,qwen3_8b,chat,refers,sum,full_minus_shuffled,33,4.601031332304983,3.7516438036253956,5.468639701785463,1.0
id_tl,qwen3_8b,chat,refers,sum,masked_minus_shuffled,33,2.7652800010912344,1.878554274819114,3.657358504786635,0.8484848484848485
id_tl,qwen3_8b,plain,bare,mean,full_minus_language_only,33,-2.5762472080461905,-3.287734583833001,-1.8624725195494574,0.15151515151515152
id_tl,qwen3_8b,plain,bare,mean,full_minus_shuffled,33,1.3788328604264692,0.9273343985730952,1.8547917217919316,0.8484848484848485
id_tl,qwen3_8b,plain,bare,mean,masked_minus_shuffled,33,1.6266859950441304,0.9244249602158864,2.3938199319622733,0.7878787878787878
id_tl,qwen3_8b,plain,bare,sum,full_minus_language_only,33,-2.5338783264160156,-3.387464753786723,-1.6015917245185738,0.15151515151515152
id_tl,qwen3_8b,plain,bare,sum,full_minus_shuffled,33,1.8235065214561694,1.1730521808971057,2.4910879615581396,0.8181818181818182
id_tl,qwen3_8b,plain,bare,sum,masked_minus_shuffled,33,1.91072391018723,1.0264248212178548,2.813113030339732,0.7272727272727273
id_tl,qwen3_8b,plain,definition,mean,full_minus_language_only,33,-0.18554717844182794,-0.35049946470694104,-0.015362310409546012,0.3939393939393939
id_tl,qwen3_8b,plain,definition,mean,full_minus_shuffled,33,0.8967603914665453,0.679402958985531,1.119958610968156,0.9393939393939394
id_tl,qwen3_8b,plain,definition,mean,masked_minus_shuffled,33,0.5227145353953043,0.3746812634395831,0.6793091604203889,0.9393939393939394
id_tl,qwen3_8b,plain,definition,sum,full_minus_language_only,33,-0.5640120939774946,-1.2873557538697213,0.13256298773216424,0.42424242424242425
id_tl,qwen3_8b,plain,definition,sum,full_minus_shuffled,33,3.9330536235462534,3.0708802367701673,4.806197770436605,0.9696969696969697
id_tl,qwen3_8b,plain,definition,sum,masked_minus_shuffled,33,2.222855047746138,1.5607718294317072,2.926304043423045,0.9090909090909091
id_tl,qwen3_8b,plain,refers,mean,full_minus_language_only,33,-0.14800376964337897,-0.32583128719618826,0.03425063265092415,0.42424242424242425
id_tl,qwen3_8b,plain,refers,mean,full_minus_shuffled,33,0.8811041803070994,0.6811862866083781,1.0804998822284466,0.9393939393939394
id_tl,qwen3_8b,plain,refers,mean,masked_minus_shuffled,33,0.5673094301512747,0.3941931000261596,0.7373898321932009,0.8787878787878788
id_tl,qwen3_8b,plain,refers,sum,full_minus_language_only,33,-0.3926817865082712,-1.2593010411118015,0.4504451191786562,0.5151515151515151
id_tl,qwen3_8b,plain,refers,sum,full_minus_shuffled,33,4.989040866042629,4.108958050698946,5.8727579348015055,1.0
