pair,model,prompt_mode,normalization,n_cells,mean_abs_margin_difference,max_abs_margin_difference,decision_sign_flips,decision_sign_flip_rate,pearson_margin
zh_ja,qwen25_7b,chat,mean,1296,0.06076353034119547,0.7189598083496094,8,0.006172839506172839,0.9997620606134662
zh_ja,qwen25_7b,chat,sum,1296,0.22312925700788144,2.084228515625,8,0.006172839506172839,0.9998330942619372
id_tl,gemma3_12b,plain,mean,1584,0.08803467347164347,1.1874990463256836,19,0.011994949494949494,0.9991786739062503
id_tl,gemma3_12b,plain,sum,1584,0.3279532663749926,6.304203033447266,12,0.007575757575757576,0.9994380797618931
