pair,model,dose,lag,normalization,comparison,n_items,estimate,ci_low,ci_high,negative_rate
id_tl,gemma3_12b,1,0,mean,wrong_exact_minus_language,33,-4.994555646909937,-7.238070238064392,-2.810269841539081,0.7272727272727273
id_tl,gemma3_12b,1,0,mean,wrong_exact_minus_surface,33,-3.4148744592737676,-5.766100498264837,-1.157337541137377,0.696969696969697
id_tl,gemma3_12b,1,0,mean,wrong_exact_minus_masked,33,-0.6077149485724724,-1.9633879730584642,0.7019276755883102,0.45454545454545453
id_tl,gemma3_12b,1,0,mean,wrong_masked_minus_language,33,-4.386840698337465,-6.322571198228803,-2.4516057132122424,0.8484848484848485
id_tl,gemma3_12b,1,0,mean,correct_exact_minus_language,33,24.59387151010968,19.866761225774656,29.783545402654095,0.0
id_tl,gemma3_12b,1,0,sum,wrong_exact_minus_language,33,-5.987002369767817,-8.55411426966038,-3.4821333477404997,0.7272727272727273
id_tl,gemma3_12b,1,0,sum,wrong_exact_minus_surface,33,-2.9229574907583427,-5.5067572018988855,-0.3629838271582264,0.6363636363636364
id_tl,gemma3_12b,1,0,sum,wrong_exact_minus_masked,33,-0.48546433789218124,-2.1747521787176303,1.112256123078105,0.45454545454545453
id_tl,gemma3_12b,1,0,sum,wrong_masked_minus_language,33,-5.5015380318756355,-7.5177301650979755,-3.576568555782523,0.8181818181818182
id_tl,gemma3_12b,1,0,sum,correct_exact_minus_language,33,29.23194859205278,23.862619145868663,35.12255635764956,0.0
id_tl,gemma3_12b,1,2,mean,wrong_exact_minus_language,33,-3.5186358460659077,-5.7252234133236035,-1.5475790506773404,0.7272727272727273
id_tl,gemma3_12b,1,2,mean,wrong_exact_minus_surface,33,-3.6509331502972846,-6.078058626660817,-1.384643831334072,0.7575757575757576
id_tl,gemma3_12b,1,2,mean,wrong_exact_minus_masked,33,-1.9293483523382968,-3.3533886556709946,-0.5609307137922638,0.696969696969697
id_tl,gemma3_12b,1,2,mean,wrong_masked_minus_language,33,-1.589287493727611,-3.580040475537052,0.08798476617640398,0.5454545454545454
id_tl,gemma3_12b,1,2,mean,correct_exact_minus_language,33,21.699262394765327,17.21810585127398,26.809098952205108,0.0
