group,covariate,false_mean,control_mean,smd,false_sd,control_sd,variance_ratio
true_friend,freq_l1,3.939583333333333,3.9008333333333334,-0.05890624071153329,0.8527677657597293,0.7901563778450917,0.8585479352750164
true_friend,freq_l2,3.537083333333334,3.515833333333333,-0.031067102757211904,0.7520087832897483,0.725084203006296,0.9296748039101053
true_friend,freq_ratio,0.4025,0.38500000000000006,-0.02612035062498835,1.0554918490818679,1.003108212984283,0.9032039011140187
true_friend,char_l1,2.0,2.0,0.0,0.0,0.0,
true_friend,char_l2,2.0,2.0,0.0,0.0,0.0,
true_friend,gloss_tokens,1.5,1.4583333333333333,-0.08530087012026491,0.5107539184552492,0.5089773777040515,0.9930555555555554
true_friend,tok1_l1,1.5833333333333333,1.5416666666666667,-0.08722091538876388,0.5036101551853348,0.5089773777040515,1.0214285714285714
true_friend,tok1_l2,1.5833333333333333,1.5416666666666667,-0.08722091538876388,0.5036101551853348,0.5089773777040515,1.0214285714285714
true_friend,tok2_l1,1.5416666666666667,1.5833333333333333,0.08282229234338581,0.5089773777040515,0.5036101551853348,0.9790209790209792
true_friend,tok2_l2,1.5416666666666667,1.5833333333333333,0.08282229234338581,0.5089773777040515,0.5036101551853348,0.9790209790209792
true_friend,reference_difficulty,-6.585459054248834,-6.746308597736061,-0.035757319013774505,3.385167541913342,4.082297777762205,1.4542833267724171
translation_control,freq_l1,3.939583333333333,4.006666666666667,0.0905471366893062,0.8527677657597293,0.81824662311059,0.9206761471420938
translation_control,freq_l2,3.537083333333334,3.5629166666666663,0.036133031937032996,0.7520087832897483,0.7088538155953298,0.8885206725278735
translation_control,freq_ratio,0.4025,0.44375000000000003,0.046881777016272365,1.0554918490818679,0.9698220926047971,0.8442564330720492
translation_control,char_l1,2.0,2.0,0.0,0.0,0.0,
translation_control,char_l2,2.0,2.0,0.0,0.0,0.0,
translation_control,gloss_tokens,1.5,1.5,0.0,0.5107539184552492,0.5107539184552492,1.0
translation_control,tok1_l1,1.5833333333333333,1.5416666666666667,-0.08336984567870022,0.5036101551853348,0.5089773777040515,1.0214285714285714
translation_control,tok1_l2,1.5833333333333333,1.625,0.06901804589416775,0.5036101551853348,0.5757792451369143,1.3071428571428572
translation_control,tok2_l1,1.5416666666666667,1.5833333333333333,0.08241699809185242,0.5089773777040515,0.5036101551853348,0.9790209790209792
translation_control,tok2_l2,1.5416666666666667,1.5416666666666667,0.0,0.5089773777040515,0.5089773777040515,1.0
translation_control,reference_difficulty,-6.585459054248834,-7.139410929133494,-0.09716809016974969,3.385167541913342,2.6584589151309443,0.6167363834700211
