pair,model,prompt_mode,condition,wrapper,normalization,effect,n,estimate,ci_low,ci_high,positive_rate
id_tl,gemma3_12b,chat,full,bare,mean,semantic,33,4.177974267439409,2.7141856999108285,5.752308202512336,0.8787878787878788
id_tl,gemma3_12b,chat,full,bare,mean,language,33,2.992272897200151,1.8538031202374081,4.143727037762151,0.7878787878787878
id_tl,gemma3_12b,chat,full,bare,mean,interaction,33,1.9463826959783381,-0.5341843872359304,4.072845898975025,0.6666666666666666
id_tl,gemma3_12b,chat,full,bare,mean,diagonal_switch,33,7.17024716463956,5.280094384424615,9.114980442596202,0.9090909090909091
id_tl,gemma3_12b,chat,full,bare,mean,midpoint,33,3.263543071168842,-3.7140809521530613,9.979933854666623,0.42424242424242425
id_tl,gemma3_12b,chat,full,bare,sum,semantic,33,5.286100878860012,3.1723809292822174,7.61144248933503,0.8787878787878788
id_tl,gemma3_12b,chat,full,bare,sum,language,33,4.041095242355809,2.4859474976857503,5.6558817632270575,0.8181818181818182
id_tl,gemma3_12b,chat,full,bare,sum,interaction,33,0.9107151031494141,-3.050006304365216,4.465056865865534,0.6363636363636364
id_tl,gemma3_12b,chat,full,bare,sum,diagonal_switch,33,9.32719612121582,6.731914946527192,11.987265277631353,0.8787878787878788
id_tl,gemma3_12b,chat,full,bare,sum,midpoint,33,-2.8589868545532227,-8.213101946946347,2.9306455294291163,0.30303030303030304
id_tl,gemma3_12b,chat,full,definition,mean,semantic,33,3.16913179917769,2.4581516876365197,3.8944097244378284,0.9696969696969697
id_tl,gemma3_12b,chat,full,definition,mean,language,33,2.05464218602036,1.4549622933069863,2.679061386079499,0.8787878787878788
id_tl,gemma3_12b,chat,full,definition,mean,interaction,33,0.9092219959605824,-0.1569654695915453,2.008795951351973,0.5454545454545454
id_tl,gemma3_12b,chat,full,definition,mean,diagonal_switch,33,5.22377398519805,4.312166429288459,6.1327821363102295,1.0
id_tl,gemma3_12b,chat,full,definition,mean,midpoint,33,0.32566407232573535,-0.6507515481024078,1.3464378248561513,0.5151515151515151
id_tl,gemma3_12b,chat,full,definition,sum,semantic,33,13.042345335989287,10.060417877544056,16.081392525181624,0.9393939393939394
id_tl,gemma3_12b,chat,full,definition,sum,language,33,8.601691852916371,6.1547940716598974,11.140225436470722,0.8787878787878788
id_tl,gemma3_12b,chat,full,definition,sum,interaction,33,4.073952183578953,-0.3488731731068004,8.576723451325387,0.6060606060606061
id_tl,gemma3_12b,chat,full,definition,sum,diagonal_switch,33,21.644037188905656,17.89013448195024,25.202220569957383,0.9696969696969697
id_tl,gemma3_12b,chat,full,definition,sum,midpoint,33,0.6232532154430043,-2.8508779670252946,5.017451225627545,0.45454545454545453
id_tl,gemma3_12b,chat,full,refers,mean,semantic,33,2.6758054675477925,2.07209862687371,3.2874914302970417,0.9696969696969697
id_tl,gemma3_12b,chat,full,refers,mean,language,33,1.5520188302704783,1.1388902891765942,1.9848782326235914,0.8787878787878788
