model,profile_correlation,ff_peak_layer,mono_peak_layer,ff_max_semantic,ff_max_language_abs
gemma3_12b,0.9985256474432008,47,47,22.6277575135231,23.055576384067535
qwen3_8b,0.981623002181069,32,32,6.701519774645567,8.017981467396021
