model,control,n_pairs,late_window,matched_language_excess,ci_low,ci_high,positive_rate,pos_l1_match_rate,pos_l2_match_rate
qwen3_8b,true_friend,20,0.75<=relative_depth<1.0,5.969539853518083,2.5263565765616462,9.700214409132148,0.75,0.7,1.0
qwen3_8b,translation_control,16,0.75<=relative_depth<1.0,7.068441650766733,3.1154015591746695,11.650883530936467,0.75,0.6875,0.9375
gemma3_12b,true_friend,20,0.75<=relative_depth<1.0,12.726275978734096,8.426022086491185,17.389484762245164,0.95,0.7,0.9
gemma3_12b,translation_control,16,0.75<=relative_depth<1.0,15.565361569715071,10.561675516597461,20.70517893679008,0.9375,0.6875,0.9375
