condition,metric,n,effect,ci_low,ci_high
d32,draw,49,0.0038883491438262315,-0.7547764414427232,0.732892999600391
d32,dlift,49,-0.06970331620196907,-0.7712530194496622,0.6264555511425952
d8,draw,49,-0.3627377578190395,-0.710081744437315,-0.022364641452322222
d8,dlift,49,-0.14693463091947595,-0.6308537747178758,0.3484919822945883
