pair,model,prompt_mode,condition,wrapper,normalization,id,semantic,language,interaction,diagonal_switch,midpoint
id_tl,gemma3_12b,chat,full,bare,sum,id_tl_008,6.61669921875,3.35888671875,4.0771484375,9.9755859375,-5.15283203125
id_tl,gemma3_12b,chat,full,bare,sum,id_tl_009,1.005859375,2.783203125,-1.99609375,3.7890625,-2.19921875
id_tl,gemma3_12b,chat,full,bare,sum,id_tl_011,10.166265487670898,12.111520767211914,5.147396087646484,22.277786254882812,-21.55054473876953
id_tl,gemma3_12b,chat,full,bare,sum,id_tl_012,1.4453125,8.0234375,2.484375,9.46875,-2.046875
id_tl,gemma3_12b,chat,full,bare,sum,id_tl_013,3.5546913146972656,1.3828201293945312,3.6406173706054688,4.937511444091797,13.406244277954102
id_tl,gemma3_12b,chat,full,bare,sum,id_tl_014,7.626287460327148,1.6268177032470703,8.561939239501953,9.253105163574219,1.2796974182128906
id_tl,gemma3_12b,chat,full,bare,sum,id_tl_015,0.51171875,1.69921875,0.5390625,2.2109375,-0.27734375
id_tl,gemma3_12b,chat,full,bare,sum,id_tl_016,6.990845680236816,4.227904319763184,3.393308639526367,11.21875,-32.89062690734863
id_tl,gemma3_12b,chat,full,bare,sum,id_tl_017,8.546875,10.515625,5.40625,19.0625,-8.65625
id_tl,gemma3_12b,chat,full,bare,sum,id_tl_019,24.54062271118164,3.7380714416503906,-7.414741516113281,28.27869415283203,9.391288757324219
id_tl,gemma3_12b,chat,full,bare,sum,id_tl_021,8.88707160949707,-0.19576644897460938,1.3919486999511719,8.691305160522461,-31.65815830230713
id_tl,gemma3_12b,chat,full,bare,sum,id_tl_022,-5.421169281005859,6.0445404052734375,9.965240478515625,0.6233711242675781,-12.511129379272461
id_tl,gemma3_12b,chat,full,bare,sum,id_tl_024,1.9020748138427734,11.165262222290039,-14.018054962158203,13.067337036132812,-5.473781585693359
id_tl,gemma3_12b,chat,full,bare,sum,id_tl_027,9.5625,5.03125,7.3125,14.59375,-12.953125
id_tl,gemma3_12b,chat,full,bare,sum,id_tl_029,6.1767578125,4.5673828125,7.384765625,10.744140625,13.6220703125
id_tl,gemma3_12b,chat,full,bare,sum,id_tl_032,-4.103515625,0.400390625,5.58203125,-3.703125,-0.6953125
id_tl,gemma3_12b,chat,full,bare,sum,id_tl_033,7.085485458374023,6.686273574829102,23.484188079833984,13.771759033203125,-22.688213348388672
id_tl,gemma3_12b,chat,full,bare,sum,id_tl_034,16.507888793945312,-4.285125732421875,16.05463409423828,12.222763061523438,10.037055969238281
id_tl,gemma3_12b,chat,full,bare,sum,id_tl_035,0.634765625,6.009765625,7.41796875,6.64453125,-7.478515625
id_tl,gemma3_12b,chat,full,bare,sum,id_tl_037,2.322265625,1.361328125,-1.68359375,3.68359375,-4.814453125
id_tl,gemma3_12b,chat,full,bare,sum,id_tl_039,0.3125,5.515625,-5.0625,5.828125,-9.3828125
id_tl,gemma3_12b,chat,full,bare,sum,id_tl_040,0.08259391784667969,-2.6889476776123047,-9.493976593017578,-2.606353759765625,9.855415344238281
id_tl,gemma3_12b,chat,full,bare,sum,id_tl_042,0.6212787628173828,17.850378036499023,-36.916988372802734,18.471656799316406,-25.76727294921875
id_tl,gemma3_12b,chat,full,bare,sum,id_tl_043,-6.256935119628906,5.503196716308594,-23.751861572265625,-0.7537384033203125,-1.4464340209960938
id_tl,gemma3_12b,chat,full,bare,sum,id_tl_046,-5.742998123168945,1.9977779388427734,-7.787364959716797,-3.745220184326172,56.97039985656738
id_tl,gemma3_12b,chat,full,bare,sum,id_tl_047,8.36328125,-0.3632774353027344,8.164054870605469,8.000003814697266,-3.679689407348633
id_tl,gemma3_12b,chat,full,definition,mean,id_tl_000,0.7269124984741211,-0.4679269790649414,1.4728336334228516,0.2589855194091797,0.0019826889038085938
id_tl,gemma3_12b,chat,full,definition,mean,id_tl_001,5.55859375,1.73046875,3.7578125,7.2890625,-0.12890625
id_tl,gemma3_12b,chat,full,definition,mean,id_tl_002,5.96875,0.1640625,2.953125,6.1328125,1.86328125
id_tl,gemma3_12b,chat,full,definition,mean,id_tl_003,1.4999990463256836,5.046874046325684,2.656251907348633,6.546873092651367,0.5078134536743164
id_tl,gemma3_12b,chat,full,definition,mean,id_tl_004,6.358399391174316,3.9677743911743164,0.6816425323486328,10.326173782348633,0.2080087661743164
id_tl,gemma3_12b,chat,full,definition,mean,id_tl_005,4.3984375,1.0703125,-5.515625,5.46875,-2.09375
id_tl,gemma3_12b,chat,full,definition,mean,id_tl_007,3.48494815826416,4.202284812927246,-3.701284408569336,7.687232971191406,-2.3978347778320312
id_tl,gemma3_12b,chat,full,definition,mean,id_tl_008,3.6054677963256836,1.8710927963256836,0.1640644073486328,5.476560592651367,-1.2539052963256836
id_tl,gemma3_12b,chat,full,definition,mean,id_tl_009,2.21875,1.671875,-1.0625,3.890625,0.0859375
id_tl,gemma3_12b,chat,full,definition,mean,id_tl_011,3.8730483055114746,1.5119338035583496,3.2956361770629883,5.384982109069824,3.3319649696350098
id_tl,gemma3_12b,chat,full,definition,mean,id_tl_012,0.4140625,5.7109375,-0.421875,6.125,-1.140625
id_tl,gemma3_12b,chat,full,definition,mean,id_tl_013,2.3828134536743164,1.4296884536743164,-1.0156230926513672,3.812501907348633,0.1250009536743164
id_tl,gemma3_12b,chat,full,definition,mean,id_tl_014,5.70703125,3.875,7.890625,9.58203125,-0.634765625
id_tl,gemma3_12b,chat,full,definition,mean,id_tl_015,1.90234375,0.64453125,0.0078125,2.546875,1.8046875
id_tl,gemma3_12b,chat,full,definition,mean,id_tl_016,4.2109375,-0.1171875,0.390625,4.09375,-1.234375
id_tl,gemma3_12b,chat,full,definition,mean,id_tl_017,5.130859375,4.380859375,4.92578125,9.51171875,-0.162109375
id_tl,gemma3_12b,chat,full,definition,mean,id_tl_019,6.142033100128174,-0.018498897552490234,-0.43509578704833984,6.123534202575684,3.597970485687256
id_tl,gemma3_12b,chat,full,definition,mean,id_tl_021,5.9736328125,1.0498046875,4.212890625,7.0234375,-0.35546875
id_tl,gemma3_12b,chat,full,definition,mean,id_tl_022,5.469970703125,2.877685546875,6.48681640625,8.34765625,-0.283203125
id_tl,gemma3_12b,chat,full,definition,mean,id_tl_024,1.1650795936584473,2.832920551300049,-0.1541147232055664,3.998000144958496,5.2908101081848145
id_tl,gemma3_12b,chat,full,definition,mean,id_tl_027,5.74609375,1.30078125,-0.1328125,7.046875,-0.3671875
id_tl,gemma3_12b,chat,full,definition,mean,id_tl_029,4.519532203674316,4.035157203674316,-0.8046894073486328,8.554689407348633,0.9023427963256836
id_tl,gemma3_12b,chat,full,definition,mean,id_tl_032,1.8046875,0.5234375,-1.296875,2.328125,0.0546875
id_tl,gemma3_12b,chat,full,definition,mean,id_tl_033,0.7058615684509277,2.842613697052002,7.007370948791504,3.5484752655029297,9.674595832824707
id_tl,gemma3_12b,chat,full,definition,mean,id_tl_034,5.7138671875,1.3896484375,3.376953125,7.103515625,-0.6298828125
