pair,model,prompt_mode,wrapper,normalization,calibration,l1_accuracy,l2_accuracy,both_accuracy,stingray_bias,stingray_comprehension
id_tl,gemma3_12b,chat,bare,mean,raw,0.5454545454545454,0.6060606060606061,0.18181818181818182,0.0669508334262966,0.5765544724375893
id_tl,gemma3_12b,chat,bare,mean,content_free_calibrated,0.6363636363636364,0.8181818181818182,0.48484848484848486,0.1583336966422622,0.7329325225725953
id_tl,gemma3_12b,chat,bare,sum,raw,0.7575757575757576,0.5151515151515151,0.30303030303030304,-0.23965106372361336,0.647804797770665
id_tl,gemma3_12b,chat,bare,sum,content_free_calibrated,0.6060606060606061,0.8484848484848485,0.45454545454545453,0.2102738268450138,0.7373045491270569
id_tl,gemma3_12b,chat,definition,mean,raw,0.7878787878787878,0.9090909090909091,0.696969696969697,0.09079148399944177,0.8506465968253454
id_tl,gemma3_12b,chat,definition,mean,content_free_calibrated,0.8787878787878788,0.8484848484848485,0.7272727272727273,-0.02233524456120397,0.8637692614387409
id_tl,gemma3_12b,chat,definition,sum,raw,0.8484848484848485,0.8787878787878788,0.7272727272727273,0.022335244561204108,0.8637692614387409
id_tl,gemma3_12b,chat,definition,sum,content_free_calibrated,0.8484848484848485,0.8787878787878788,0.7272727272727273,0.022335244561204108,0.8637692614387409
id_tl,gemma3_12b,chat,refers,mean,raw,0.8787878787878788,0.8484848484848485,0.7272727272727273,-0.02233524456120397,0.8637692614387409
id_tl,gemma3_12b,chat,refers,mean,content_free_calibrated,0.9393939393939394,0.9393939393939394,0.8787878787878788,0.0,0.9393939393939393
id_tl,gemma3_12b,chat,refers,sum,raw,0.9696969696969697,0.8787878787878788,0.8484848484848485,-0.06256792631580509,0.9253594839153012
id_tl,gemma3_12b,chat,refers,sum,content_free_calibrated,0.8787878787878788,0.9696969696969697,0.8484848484848485,0.06256792631580509,0.9253594839153012
id_tl,gemma3_12b,plain,bare,mean,raw,0.45454545454545453,0.5757575757575758,0.09090909090909091,0.14910748461682086,0.51870432632193
id_tl,gemma3_12b,plain,bare,mean,content_free_calibrated,0.696969696969697,0.5454545454545454,0.3333333333333333,-0.15451016595942035,0.6258144372140418
id_tl,gemma3_12b,plain,bare,sum,raw,0.5757575757575758,0.45454545454545453,0.09090909090909091,-0.14910748461682072,0.51870432632193
id_tl,gemma3_12b,plain,bare,sum,content_free_calibrated,0.7272727272727273,0.6060606060606061,0.3939393939393939,-0.11543175350521795,0.6694158192234704
id_tl,gemma3_12b,plain,definition,mean,raw,0.5454545454545454,0.5757575757575758,0.15151515151515152,0.03440350442173273,0.5608107734339923
id_tl,gemma3_12b,plain,definition,mean,content_free_calibrated,0.6363636363636364,0.6666666666666666,0.36363636363636365,0.029604885641547497,0.6516913081092899
id_tl,gemma3_12b,plain,definition,sum,raw,0.696969696969697,0.45454545454545453,0.15151515151515152,-0.26419240088062174,0.5883784193620484
id_tl,gemma3_12b,plain,definition,sum,content_free_calibrated,0.6363636363636364,0.6666666666666666,0.3333333333333333,0.029604885641547497,0.6516913081092899
id_tl,gemma3_12b,plain,refers,mean,raw,0.696969696969697,0.42424242424242425,0.18181818181818182,-0.3038068251599075,0.576952508019993
id_tl,gemma3_12b,plain,refers,mean,content_free_calibrated,0.5454545454545454,0.696969696969697,0.30303030303030304,0.1545101659594205,0.6258144372140418
id_tl,gemma3_12b,plain,refers,sum,raw,0.7272727272727273,0.3939393939393939,0.15151515151515152,-0.3679349194585923,0.5848563353217813
id_tl,gemma3_12b,plain,refers,sum,content_free_calibrated,0.5454545454545454,0.696969696969697,0.30303030303030304,0.1545101659594205,0.6258144372140418
id_tl,gemma3_4b,chat,bare,mean,raw,0.7272727272727273,0.6666666666666666,0.3939393939393939,-0.05532339826664799,0.6976281474679598
id_tl,gemma3_4b,chat,bare,mean,content_free_calibrated,0.8181818181818182,0.6666666666666666,0.48484848484848486,-0.1294742673234617,0.7462794155166516
id_tl,gemma3_4b,chat,bare,sum,raw,0.8787878787878788,0.5151515151515151,0.3939393939393939,-0.32490831085848126,0.7202948075154371
id_tl,gemma3_4b,chat,bare,sum,content_free_calibrated,0.8181818181818182,0.696969696969697,0.5151515151515151,-0.10164269466446359,0.7599961335748153
id_tl,gemma3_4b,chat,definition,mean,raw,0.8484848484848485,0.7878787878787878,0.6363636363636364,-0.04713547548136568,0.8187427930973513
id_tl,gemma3_4b,chat,definition,mean,content_free_calibrated,0.8787878787878788,0.7272727272727273,0.6060606060606061,-0.11976248355496463,0.8065958578306767
id_tl,gemma3_4b,chat,definition,sum,raw,0.9090909090909091,0.7575757575757576,0.6666666666666666,-0.11543175350521781,0.8367697740293378
id_tl,gemma3_4b,chat,definition,sum,content_free_calibrated,0.8787878787878788,0.7878787878787878,0.6666666666666666,-0.06938067693590458,0.8345720820557825
id_tl,gemma3_4b,chat,refers,mean,raw,0.9393939393939394,0.8484848484848485,0.7878787878787878,-0.06468528502595008,0.8950942719843593
id_tl,gemma3_4b,chat,refers,mean,content_free_calibrated,0.9393939393939394,0.9090909090909091,0.8484848484848485,-0.02087090990523518,0.924366608646645
id_tl,gemma3_4b,chat,refers,sum,raw,0.9393939393939394,0.8181818181818182,0.7575757575757576,-0.08767080508972364,0.8808752638635535
id_tl,gemma3_4b,chat,refers,sum,content_free_calibrated,0.9393939393939394,0.9393939393939394,0.8787878787878788,0.0,0.9393939393939393
id_tl,gemma3_4b,plain,bare,mean,raw,0.6363636363636364,0.6363636363636364,0.30303030303030304,0.0,0.6363636363636362
id_tl,gemma3_4b,plain,bare,mean,content_free_calibrated,0.7575757575757576,0.6666666666666666,0.42424242424242425,-0.08116050622902966,0.7135704145040374
id_tl,gemma3_4b,plain,bare,sum,raw,0.6666666666666666,0.6363636363636364,0.3333333333333333,-0.029604885641547497,0.6516913081092899
id_tl,gemma3_4b,plain,bare,sum,content_free_calibrated,0.7575757575757576,0.6363636363636364,0.3939393939393939,-0.11043868284689566,0.699599780643345
id_tl,gemma3_4b,plain,definition,mean,raw,0.45454545454545453,0.6666666666666666,0.15151515151515152,0.2380694005064675,0.5705506176897797
id_tl,gemma3_4b,plain,definition,mean,content_free_calibrated,0.6363636363636364,0.6363636363636364,0.36363636363636365,0.0,0.6363636363636362
id_tl,gemma3_4b,plain,definition,sum,raw,0.5454545454545454,0.5757575757575758,0.15151515151515152,0.03440350442173273,0.5608107734339923
id_tl,gemma3_4b,plain,definition,sum,content_free_calibrated,0.696969696969697,0.6060606060606061,0.36363636363636365,-0.088686957742884,0.653098850371282
id_tl,gemma3_4b,plain,refers,mean,raw,0.7575757575757576,0.7272727272727273,0.5151515151515151,-0.02598087395349815,0.7425788336268391
id_tl,gemma3_4b,plain,refers,mean,content_free_calibrated,0.7878787878787878,0.7575757575757576,0.6060606060606061,-0.024962282535009445,0.7728758027185969
id_tl,gemma3_4b,plain,refers,sum,raw,0.8181818181818182,0.6060606060606061,0.45454545454545453,-0.18824765851144074,0.7199760224555589
id_tl,gemma3_4b,plain,refers,sum,content_free_calibrated,0.7575757575757576,0.696969696969697,0.5151515151515151,-0.05302097845308466,0.7279037666342009
id_tl,qwen25_7b,chat,bare,mean,raw,0.48484848484848486,0.6363636363636364,0.18181818181818182,0.17102337160036815,0.5657016576543779
id_tl,qwen25_7b,chat,bare,mean,content_free_calibrated,0.6060606060606061,0.7575757575757576,0.36363636363636365,0.14089314990910912,0.686014025616471
id_tl,qwen25_7b,chat,bare,sum,raw,0.6060606060606061,0.5454545454545454,0.21212121212121213,-0.06695083342629646,0.5765544724375893
id_tl,qwen25_7b,chat,bare,sum,content_free_calibrated,0.6363636363636364,0.7575757575757576,0.3939393939393939,0.11043868284689566,0.699599780643345
id_tl,qwen25_7b,chat,definition,mean,raw,0.6666666666666666,0.7272727272727273,0.3939393939393939,0.05532339826664799,0.6976281474679598
id_tl,qwen25_7b,chat,definition,mean,content_free_calibrated,0.696969696969697,0.7272727272727273,0.5151515151515151,0.02708611633625113,0.7122823802147368
id_tl,qwen25_7b,chat,definition,sum,raw,0.7878787878787878,0.7272727272727273,0.5151515151515151,-0.050902445391967276,0.7581815759513214
id_tl,qwen25_7b,chat,definition,sum,content_free_calibrated,0.6666666666666666,0.7575757575757576,0.5151515151515151,0.0811605062290298,0.7135704145040374
id_tl,qwen25_7b,chat,refers,mean,raw,0.8787878787878788,0.7878787878787878,0.6666666666666666,-0.06938067693590458,0.8345720820557825
id_tl,qwen25_7b,chat,refers,mean,content_free_calibrated,0.7272727272727273,0.8787878787878788,0.6363636363636364,0.11976248355496463,0.8065958578306767
id_tl,qwen25_7b,chat,refers,sum,raw,0.8787878787878788,0.7272727272727273,0.6060606060606061,-0.11976248355496463,0.8065958578306767
id_tl,qwen25_7b,chat,refers,sum,content_free_calibrated,0.7575757575757576,0.9090909090909091,0.6666666666666666,0.11543175350521795,0.8367697740293378
id_tl,qwen25_7b,plain,bare,mean,raw,0.8181818181818182,0.6060606060606061,0.42424242424242425,-0.18824765851144074,0.7199760224555589
id_tl,qwen25_7b,plain,bare,mean,content_free_calibrated,0.7272727272727273,0.7878787878787878,0.5151515151515151,0.050902445391967276,0.7581815759513214
id_tl,qwen25_7b,plain,bare,sum,raw,0.8484848484848485,0.6060606060606061,0.45454545454545453,-0.21027382684501367,0.7373045491270569
id_tl,qwen25_7b,plain,bare,sum,content_free_calibrated,0.7575757575757576,0.8181818181818182,0.5757575757575758,0.04894662581701791,0.7884613231065264
id_tl,qwen25_7b,plain,definition,mean,raw,0.7878787878787878,0.7272727272727273,0.5151515151515151,-0.050902445391967276,0.7581815759513214
id_tl,qwen25_7b,plain,definition,mean,content_free_calibrated,0.7878787878787878,0.8484848484848485,0.6363636363636364,0.04713547548136568,0.8187427930973513
id_tl,qwen25_7b,plain,definition,sum,raw,0.8787878787878788,0.696969696969697,0.5757575757575758,-0.14626543678173345,0.7931062017152969
id_tl,qwen25_7b,plain,definition,sum,content_free_calibrated,0.7878787878787878,0.8787878787878788,0.6666666666666666,0.06938067693590472,0.8345720820557825
id_tl,qwen25_7b,plain,refers,mean,raw,0.9090909090909091,0.7272727272727273,0.6363636363636364,-0.14089314990910895,0.823216830739765
id_tl,qwen25_7b,plain,refers,mean,content_free_calibrated,0.7272727272727273,0.9393939393939394,0.6666666666666666,0.16118210250500753,0.8400555318563097
id_tl,qwen25_7b,plain,refers,sum,raw,0.8787878787878788,0.696969696969697,0.5757575757575758,-0.14626543678173345,0.7931062017152969
id_tl,qwen25_7b,plain,refers,sum,content_free_calibrated,0.7575757575757576,0.9393939393939394,0.696969696969697,0.13590007925078695,0.8533410812320438
id_tl,qwen3_8b,chat,bare,mean,raw,0.3939393939393939,0.6060606060606061,0.030303030303030304,0.2661362765378524,0.5111250846494848
id_tl,qwen3_8b,chat,bare,mean,content_free_calibrated,0.5454545454545454,0.45454545454545453,0.12121212121212122,-0.11543175350521781,0.5020618644176027
id_tl,qwen3_8b,chat,bare,sum,raw,0.5454545454545454,0.42424242424242425,0.0,-0.15833369664226207,0.48862168171506354
id_tl,qwen3_8b,chat,bare,sum,content_free_calibrated,0.5454545454545454,0.5757575757575758,0.21212121212121213,0.03440350442173273,0.5608107734339923
id_tl,qwen3_8b,chat,definition,mean,raw,0.7272727272727273,0.6363636363636364,0.36363636363636365,-0.08475721853978559,0.6833316535624049
id_tl,qwen3_8b,chat,definition,mean,content_free_calibrated,0.9090909090909091,0.696969696969697,0.6060606060606061,-0.16719600974752494,0.8100040245226461
id_tl,qwen3_8b,chat,definition,sum,raw,0.8181818181818182,0.6060606060606061,0.42424242424242425,-0.18824765851144074,0.7199760224555589
id_tl,qwen3_8b,chat,definition,sum,content_free_calibrated,0.9393939393939394,0.7878787878787878,0.7272727272727273,-0.1114025278896846,0.8669526970254525
id_tl,qwen3_8b,chat,refers,mean,raw,0.8181818181818182,0.7272727272727273,0.5454545454545454,-0.07481023696510665,0.7740630166330182
id_tl,qwen3_8b,chat,refers,mean,content_free_calibrated,0.9393939393939394,0.8787878787878788,0.8181818181818182,-0.04242560962214172,0.9095958193820383
id_tl,qwen3_8b,chat,refers,sum,raw,0.8484848484848485,0.6666666666666666,0.5151515151515151,-0.15206163139179865,0.7630108067887377
id_tl,qwen3_8b,chat,refers,sum,content_free_calibrated,0.9393939393939394,0.9393939393939394,0.8787878787878788,0.0,0.9393939393939393
id_tl,qwen3_8b,plain,bare,mean,raw,0.696969696969697,0.42424242424242425,0.12121212121212122,-0.3038068251599075,0.576952508019993
id_tl,qwen3_8b,plain,bare,mean,content_free_calibrated,0.6363636363636364,0.6666666666666666,0.3333333333333333,0.029604885641547497,0.6516913081092899
id_tl,qwen3_8b,plain,bare,sum,raw,0.7272727272727273,0.42424242424242425,0.15151515151515152,-0.32763472969934965,0.5953600819511666
id_tl,qwen3_8b,plain,bare,sum,content_free_calibrated,0.6666666666666666,0.7272727272727273,0.42424242424242425,0.05532339826664799,0.6976281474679598
